id,Composition,FormationEnergy
459,Gd5AgSe8,-1.667567793
460,Ag4SI,0.029090388
461,Ag15(BiI4)16,-0.375593989
462,TmAgSn,-0.55084926
463,SrAgAs,-0.794224955
464,NaAgO,-1.057485146
465,Mn3(AgO2)4,-1.247009929
466,Mn3(AgO2)4,-1.214931762
467,TcAgO4,-1.546304726
468,KAgF4,-2.051208481
469,Na2AgSb,-0.369143274
470,LiAgF4,-1.990616899
471,LiAgF2,-2.123022827
472,LiAgF2,-2.183135501
473,LiAg2F4,-1.838484794
474,LiAgF3,-2.095120081
475,LiAg2F4,-1.861319039
476,AgAuO3,-0.326110836
477,LiAgF2,-2.114790174
478,LiAg2F4,-1.84045512
479,LiAgF4,-1.967263383
480,Li2AgF3,-2.434353044
481,LiAgF3,-2.099094026
482,LiAgF2,-2.163502433
483,LiAgF2,-2.174136262
484,LiAg2F4,-1.770986864
485,LiAg2F4,-1.849501346
486,LiAgF2,-2.163147399
487,LiAgF2,-2.119076617
488,Li2AgF5,-2.23155079
489,LiAg2F6,-1.770470686
490,LiAg2F4,-1.807330909
491,LiAgF2,-2.107085504
492,NaAgO2,-1.023471537
493,Ag2O,-0.297604114
494,Li2AgF3,-2.500622713
495,Ag2Se,-0.06489734
496,Ag2GeO4,-1.087210263
497,AgSnO3,-1.366966016
498,AgBrO4,-0.179125829
499,AgBrO4,-0.212733846
500,AgBrO4,-0.197095121
501,Ag7(PbO3)3,-0.830611756
502,LiAgF4,-1.96320984
503,Li2AgF5,-2.241159025
504,AgHg,0.0850031
505,AgHg,0.088704808
506,Li2AgF5,-2.210493778
507,LiAgF2,-2.160970027
508,Li2AgF3,-2.449736525
509,AgF,-1.194374378
510,Ag2SnO3,-1.215627624
511,Li3Ag2F5,-2.310378524
512,LiAgF2,-2.160010117
513,Ag2Hg5,0.064449386
514,Li6Ag3F10,-2.41841917
515,LiAgF3,-2.089084823
516,In2Ag,0.079728397
517,Li2AgF3,-2.460272636
518,Li2AgF5,-2.258922803
519,Li2AgF4,-2.387572273
520,Li2AgF4,-2.372252709
521,Li2AgF3,-2.434558301
522,Li2AgF4,-2.350426468
523,LiAg2F6,-1.753760076
524,AgRuO4,-1.027408648
525,Li2AgF4,-2.406693107
526,LiAgF4,-1.991961819
527,LiAg2F4,-1.851416201
528,Li2AgF4,-2.345436948
529,V4(AgO4)3,-1.807794742
530,K2AgAs,-0.405358565
531,K2AgSb,-0.415760273
532,LiAgF4,-1.938650889
533,Li2AgF5,-2.258842027
534,LiAgF4,-2.002450742
535,LiAg2F6,-1.7985019
536,Ag7Sb9O25,-1.453876436
537,Ag2Hg3,0.075957476
538,Ag11Hg9,0.099854658
539,Ag2O,-0.21337631
540,Ta3AgO8,-2.96691007
541,AgF2,-1.454898547
542,AgAsO3,-1.249717576
543,AgBiO3,-1.043814282
544,ScAgO3,-2.127802739
545,AgAuO3,-0.369384626
546,AgRuO3,-1.004479021
547,AgClO3,-0.529061929
548,Ag3IrO4,-0.634669942
549,MnAgO3,-1.201171828
550,AgGeO3,-1.352127735
551,AgGeO3,-1.347774166
552,AgBO3,-1.518041495
553,Ca(AgGe)2,-0.303816084
554,Sr(SiAg)2,-0.295937572
555,Ba(AgSn)2,-0.402814856
556,AlAgS2,-1.02248935
557,AgP2,-0.011001071
558,AgO,-0.152602886
559,Na2AgAs,-0.387824346
560,Ta3AgO8,-2.967285358
561,Li17Ag12F29,-2.270120667
562,Ag,0.005402078
563,RbAgO,-1.015561706
564,Pr2AgIr,-0.40728108
565,AgHgPd2,-0.146341085
566,AcH3,-0.654950593
567,Ac2AgIr,-0.365766551
568,AcZnAu2,-0.537615589
569,AcMgTl2,-0.270811911
570,AcI3,-1.523737829
571,Ac2HgGe,-0.506313432
572,LiAc2Si,-0.201916714
573,Cd2AgRh,-0.077641568
574,AcCdRh2,-0.357323304
575,Ac2CuIr,-0.320220121
576,AcGaTe2,-0.947168923
577,HoAlAg2,-0.332433838
578,Ac3Sn,-0.329065361
579,Ag2F3,-1.346172853
580,AcHgAu2,-0.606018569
581,PrAgHg2,-0.360491758
582,AcHg3,-0.414472197
583,Ac2CdSn,-0.474354584
584,Sc2InAg,-0.374341848
585,Sc2TlAg,-0.292003243
586,Sc2TcAg,-0.239158776
587,Sc2AgOs,-0.376988716
588,LiAcTl2,-0.305182474
589,LiAc2Ga,-0.22490451
590,AcAl3,-0.368505362
591,AcGe3,-0.442826266
592,LiAc2Ge,-0.304635515
593,DyMgAg2,-0.303623231
594,Ac2GaCu,-0.265793715
595,LiAc2Ir,-0.273784806
596,LiAc2Ru,-0.015130905
597,Ac,0
598,Ac2SiAu,-0.558358676
599,Sc2AgHg,-0.36529843
600,Sc2AgAu,-0.55539328
601,CeAg3,-0.073331487
602,LiAg3,-0.137794945
603,SmAg3,-0.205977757
604,PrCdAg2,-0.272294897
605,Ac2CuGe,-0.361584692
606,RbAcTe2,-1.253052404
607,Ac2NiIr,-0.326826596
608,AcInAu2,-0.659922884
609,AcAgHg2,-0.332444289
610,PmAgHg2,-0.365045904
611,PmAg2Pb,-0.289446077
612,PmAg3,-0.195695277
613,AcAg2Sn,-0.357266677
614,AcSbAu2,-0.676249992
615,PmGaAg2,-0.306253221
616,PmInAg2,-0.379203837
617,ThInAg2,-0.222866835
618,PmMgAg2,-0.298300791
619,AcAgAu2,-0.562249209
620,Pm2AgIr,-0.475122134
621,Pm2AgGe,-0.52811584
622,Ag2Br3,-0.277256715
623,Pm2AgRu,-0.232504955
624,KAcTe2,-1.304213507
625,Pm2SiAg,-0.424956591
626,V18Ag7O48,-2.062996157
627,AcFeO3,-2.88781133
628,LiMg2Ag,-0.216577107
629,AcCuO3,-2.438226082
630,Ag2Cl3,-0.735625942
631,AcCdHg2,-0.412879409
632,ErAgHg2,-0.31851639
633,LiAcTe2,-1.213719474
634,HoAgHg2,-0.328542377
635,PaAgTe2,-0.36791955
636,NdAgAs2,-0.775444534
637,ZnAg3,-0.029276772
638,Ac2SnHg,-0.559634154
639,NaAcAu2,-0.609160968
640,NaAcHg2,-0.390164583
641,AcZn3,-0.245156156
642,NdAgAu2,-0.562849629
643,NdAgHg2,-0.363999879
644,HoCdAg2,-0.279192482
645,Mg2AgPt,-0.58192235
646,MgAg3,-0.165505415
647,Mg3Ag,-0.13122406
648,CaAcZn2,-0.273470092
649,Mg2AgIr,-0.29643231
650,Mg2AgAu,-0.449249282
651,Dy2AgIr,-0.604060327
652,Ca2AgPb,-0.475450355
653,AcMg5,-0.079948474
654,AcTlTe2,-1.046291059
655,CeMgAg2,-0.158036676
656,NaAcTe2,-1.265011551
657,NaAcTl2,-0.278711993
658,Dy2AgRu,-0.363164976
659,CaAcHg2,-0.547485734
660,MgGaAg2,-0.154728645
661,EuAg2Sn,-0.333901461
662,Lu2TcAg,-0.200387244
663,Tm2AgOs,-0.339736164
664,Tm2AgIr,-0.654352527
665,Ac2ZnIr,-0.369888451
666,YbNdAg2,-0.364337924
667,Lu2AgHg,-0.411570885
668,Ac2CuSn,-0.348160171
669,YAgHg2,-0.340293373
670,YCdAg2,-0.296850263
671,YAlAg2,-0.335250745
672,Lu2InAg,-0.391335628
673,Ac2ZnGa,-0.3532891
674,AcTe3,-0.871722799
675,Y2AgRu,-0.343768269
676,Yb2AgIr,-0.480205465
677,Yb2AgGe,-0.572164354
678,Yb2AgPt,-0.79843992
679,Yb2AgPb,-0.522282967
680,CaAg2Sn,-0.348058543
681,YbCdAg2,-0.326304712
682,LuInAg2,-0.337094675
683,Ac2SiPd,-0.560093204
684,CeAgAu2,-0.480124003
685,TmCdAg2,-0.281141076
686,Li2AgHg,-0.297434482
687,Li3Ag,-0.156738293
688,Li2AgAu,-0.40194095
689,CeAgHg2,-0.256223467
690,YbPmAg2,-0.366884622
691,Li2AcIn,-0.261712477
692,CdAg3,-0.049135537
693,Li2AcSn,-0.408612924
694,Li2AcPb,-0.312095164
695,MgAlAg2,-0.180596411
696,AcTiO3,-3.624110554
697,AcAg3,-0.206854453
698,Ac2IrAu,-0.613614489
699,AcTlAu2,-0.590017824
700,YbAcZn2,-0.300502157
701,AcSnAu2,-0.680834029
702,AcTlAg2,-0.230776362
703,LiGaAg2,-0.223126491
704,CeAlAg2,-0.183416868
705,LuCdAg2,-0.27270353
706,AcMgCd2,-0.268764633
707,Li2AgPd,-0.346872563
708,AcBiAu2,-0.665283944
709,Ac2ZnGe,-0.415862327
710,AcN,-1.282007735
711,CaPrAg2,-0.313097608
712,NdMgAg2,-0.29098812
713,Ac2MgSn,-0.35855121
714,Ac2IrPd,-0.626014954
715,Tm2TlAg,-0.333361253
716,Lu2TlAg,-0.32141964
717,Lu2AgIr,-0.6851877
718,Lu2AgOs,-0.366608379
719,Y2AgIr,-0.586734753
720,YMgAg2,-0.310390746
721,AcAg,-0.268365834
722,YbAcHg2,-0.565429954
723,Yb2AgRh,-0.523469997
724,AcSi3,-0.346213407
725,AcMgHg2,-0.437985366
726,AcMg,-0.090215861
727,Ac2ZnSi,-0.313653276
728,AgBr,-0.37155557
729,CsAgO,-1.018166376
730,AcCrO3,-3.143048152
731,AcInTe2,-0.991021762
732,Ac2SiCu,-0.260407039
733,SmZn2Ag,-0.290116408
734,Sr2AgPt,-0.526435245
735,SmAgAs2,-0.771294491
736,CeZn2Ag,-0.192134525
737,Ac2GePd,-0.668500332
738,SmAgAu2,-0.578077925
739,CdAgPd2,-0.263995888
740,AcIn3,-0.440656737
741,CeTlAg2,-0.140949963
742,AgAu3,-0.027382953
743,AcAgTe2,-0.830868272
744,AcInHg2,-0.439707364
745,AcCdAg2,-0.232493507
746,CsAcTe2,-1.191238164
747,AcPbAu2,-0.631338884
748,LiAg2F4,-1.825769187
749,AgSbO3,-1.402459905
750,LiAgF6,-1.531318754
751,LiAgF4,-1.997936839
752,AcSe3,-1.057947135
753,AcGa3,-0.533466977
754,LiAg3F8,-1.657169398
755,AcAu3,-0.692742208
756,RbAgF3,-1.899379462
